relid,year,type_of_violence,best
USA-2001-1-360-9,2001,1,0
USA-2001-1-360-36,2001,1,22
USA-2001-1-360-44,2001,1,15
USA-2002-1-360-41,2002,1,1
USA-2002-1-360-47,2002,1,48
USA-2007-1-360-12,2007,1,1
USA-2012-1-360-999,2012,1,2
USA-2005-1-360-42,2005,1,0
USA-2004-1-360-57,2004,1,4
USA-2004-1-360-56,2004,1,7
USA-2004-1-360-59,2004,1,4
USA-2004-1-360-60,2004,1,3
USA-2004-1-360-61,2004,1,2
USA-2004-1-360-62,2004,1,3
USA-2004-1-360-63,2004,1,1
USA-2004-1-360-64,2004,1,1
USA-2004-1-360-65,2004,1,9
USA-2004-1-360-66,2004,1,7
USA-2004-1-360-67,2004,1,2
USA-2004-1-360-68,2004,1,0
USA-2004-1-360-69,2004,1,0
USA-2004-1-360-70,2004,1,0
USA-2004-1-360-71,2004,1,0
USA-2004-1-360-72,2004,1,0
USA-2004-1-360-73,2004,1,0
USA-2004-1-360-74,2004,1,0
USA-2004-1-360-75,2004,1,0
USA-2004-1-360-76,2004,1,0
USA-2004-1-360-77,2004,1,0
USA-2004-1-360-79,2004,1,0
USA-2004-1-360-85,2004,1,0
USA-2004-1-360-80,2004,1,0
USA-2004-1-360-81,2004,1,0
USA-2004-1-360-82,2004,1,0
USA-2004-1-360-83,2004,1,0
USA-2004-1-360-84,2004,1,0
USA-2005-1-360-35,2005,1,0
USA-2005-1-360-36,2005,1,0
USA-2005-1-360-37,2005,1,3
USA-2005-1-360-38,2005,1,4
USA-2005-1-360-40,2005,1,0
USA-2005-1-360-39,2005,1,8
USA-2005-1-360-41,2005,1,0
USA-2005-1-360-43,2005,1,0
USA-2006-1-360-3,2006,1,0
USA-2005-1-360-44,2005,1,0
USA-2005-1-360-45,2005,1,0
USA-2005-1-360-46,2005,1,0
USA-2005-1-360-48,2005,1,4
USA-2005-1-360-47,2005,1,3
USA-2005-1-360-49,2005,1,2
USA-2005-1-360-50,2005,1,6
USA-2005-1-360-51,2005,1,1
USA-2006-1-360-999,2006,1,4
USA-2006-1-360-2,2006,1,7
USA-2011-1-360-22,2011,1,5
